;site_code;site_name;value_amount;lon;lat;name_map
723;29405;Кыштовка;16967;76.34;56.36;Кыштовка (29405) кол-во измерений:16967
724;29418;Северное;17579;78.22;56.2;Северное (29418) кол-во измерений:17579
725;29430;Томск;17774;84.55;56.3;Томск (29430) кол-во измерений:17774
726;29456;Тюхтет;16758;89.3167;56.5333;Тюхтет (29456) кол-во измерений:16758
727;29467;Ачинск;15553;90.51999999999998;56.28;Ачинск (29467) кол-во измерений:15553
728;29471;Большая Мурта;17261;93.1333;56.9;Большая Мурта (29471) кол-во измерений:17261
729;29477;Сухобузимское;17672;93.2833;56.5;Сухобузимское (29477) кол-во измерений:17672
730;29481;Дзержинское;16920;95.2167;56.85;Дзержинское (29481) кол-во измерений:16920
731;29485;Абан;17137;96.0333;56.7;Абан (29485) кол-во измерений:17137
732;29492;Выдрино-на-Чуне;17045;99.03;56.83;Выдрино-на-Чуне (29492) кол-во измерений:17045
733;29498;Шиткино;17618;98.36;56.35;Шиткино (29498) кол-во измерений:17618
734;29500;Усть-Тарка;14823;75.41;55.34;Усть-Тарка (29500) кол-во измерений:14823
735;29508;Венгерово;14362;76.43;55.4;Венгерово (29508) кол-во измерений:14362
736;29524;Крещенка;17361;80.03;55.51;Крещенка (29524) кол-во измерений:17361
737;29532;Кожевниково;17213;83.58;56.15;Кожевниково (29532) кол-во измерений:17213
738;29539;Болотное;17609;84.24;55.4;Болотное (29539) кол-во измерений:17609
739;29540;Яя;17682;86.28;56.12;Яя (29540) кол-во измерений:17682
740;29541;Тайга;17687;85.37;56.04;Тайга (29541) кол-во измерений:17687
741;29548;Барзас;17346;86.16;55.42;Барзас (29548) кол-во измерений:17346
742;29551;Мариинск;17684;87.41;56.11;Мариинск (29551) кол-во измерений:17684
743;29552;Тяжин;16100;88.31;56.07;Тяжин (29552) кол-во измерений:16100
744;29553;Боготол;17287;89.5833;56.2333;Боготол (29553) кол-во измерений:17287
745;29557;Тисуль;17701;88.18;55.45;Тисуль (29557) кол-во измерений:17701
746;29558;Катэк;17711;89.2;55.533;Катэк (29558) кол-во измерений:17711
747;29561;Назарово;17745;90.3167;56.0333;Назарово (29561) кол-во измерений:17745
748;29562;Кемчуг;16088;91.67;56.1;Кемчуг (29562) кол-во измерений:16088
749;29563;Кача;17739;92.2;56.12;Кача (29563) кол-во измерений:17739
750;29566;Шумиха;17166;92.3;55.95;Шумиха (29566) кол-во измерений:17166
751;29570;Красноярск Опыт.поле;17775;92.75;56.03;Красноярск Опыт.поле (29570) кол-во измерений:17775
752;29571;Минино;11535;92.7333;56.06669999999999;Минино (29571) кол-во измерений:11535
753;29576;Уяр;17684;94.3333;55.8;Уяр (29576) кол-во измерений:17684
754;29578;Шалинское;17742;93.75;55.7167;Шалинское (29578) кол-во измерений:17742
755;29580;Солянка;17714;95.2667;56.1667;Солянка (29580) кол-во измерений:17714
756;29581;Канск;17653;95.6333;56.2;Канск (29581) кол-во измерений:17653
757;29587;Ирбейское;17562;95.4667;55.6333;Ирбейское (29587) кол-во измерений:17562
758;29590;Новочунка;17433;99.32;56.13;Новочунка (29590) кол-во измерений:17433
759;29594;Тайшет;17621;98.0;55.95;Тайшет (29594) кол-во измерений:17621
760;29602;Чаны;17569;76.45;55.19;Чаны (29602) кол-во измерений:17569
761;29605;Татарск;17643;76.01;55.13;Татарск (29605) кол-во измерений:17643
762;29612;Барабинск;16679;78.19;55.21;Барабинск (29612) кол-во измерений:16679
763;29613;Убинское;17016;79.38;55.18;Убинское (29613) кол-во измерений:17016
764;29614;Квашнино;16432;77.5;55.01;Квашнино (29614) кол-во измерений:16432
765;29624;Каргат;17585;80.16;55.11;Каргат (29624) кол-во измерений:17585
766;29625;Чулым;17731;80.58;55.06;Чулым (29625) кол-во измерений:17731
767;29626;Коченево;17639;82.14;55.02;Коченево (29626) кол-во измерений:17639
768;29631;Колывань;17624;82.44;55.19;Колывань (29631) кол-во измерений:17624
769;29632;Мошково;17669;83.36;55.19;Мошково (29632) кол-во измерений:17669
770;29635;Обская ГМО (Новосиб);15053;82.95;54.8;Обская ГМО (Новосиб) (29635) кол-во измерений:15053
771;29636;Тогучин;17619;84.22;55.13;Тогучин (29636) кол-во измерений:17619
772;29638;Огурцово;16680;82.57;54.54;Огурцово (29638) кол-во измерений:16680
773;29641;Топки;17726;85.36;55.16;Топки (29641) кол-во измерений:17726
774;29644;Промышленная;17368;85.37;54.54;Промышленная (29644) кол-во измерений:17368
775;29645;Новостройка (Кемерово);17678;86.13;55.15;Новостройка (Кемерово) (29645) кол-во измерений:17678
776;29649;Крапивино;16988;86.49;55.0;Крапивино (29649) кол-во измерений:16988
777;29653;Ужур ст.ж.д.;17466;89.8167;55.3;Ужур ст.ж.д. (29653) кол-во измерений:17466
778;29654;Центральный Рудник;16660;87.39;55.12;Центральный Рудник (29654) кол-во измерений:16660
779;29662;Балахта;17469;91.6667;55.3833;Балахта (29662) кол-во измерений:17469
780;29664;Светлолобово;17163;90.8333;55.1;Светлолобово (29664) кол-во измерений:17163
781;29675;Колба;17133;93.3667;55.0833;Колба (29675) кол-во измерений:17133
782;29676;Агинское;16746;94.8833;55.25;Агинское (29676) кол-во измерений:16746
783;29698;Нижнеудинск;17590;99.03;54.88;Нижнеудинск (29698) кол-во измерений:17590
784;29701;Любимовка;17137;75.120833;54.670003;Любимовка (29701) кол-во измерений:17137
785;29702;Чистоозерное;17752;76.34;54.42;Чистоозерное (29702) кол-во измерений:17752
786;29706;Купино;16969;77.19;54.23;Купино (29706) кол-во измерений:16969
787;29708;Баган;17718;77.42;54.06;Баган (29708) кол-во измерений:17718
788;29712;Здвинск;17327;78.4;54.43;Здвинск (29712) кол-во измерений:17327
789;29716;Довольное;17642;79.41;54.31;Довольное (29716) кол-во измерений:17642
790;29722;Ужаниха;17309;81.02;54.4;Ужаниха (29722) кол-во измерений:17309
791;29723;О.Дальний;12250;82.3;54.5;О.Дальний (29723) кол-во измерений:12250
792;29724;Кочки;17465;80.28;54.2;Кочки (29724) кол-во измерений:17465
793;29726;Ордынское;17253;81.9;54.4;Ордынское (29726) кол-во измерений:17253
794;29730;Искитим;13757;83.16;54.39;Искитим (29730) кол-во измерений:13757
795;29735;Посевная;17373;83.19;54.18;Посевная (29735) кол-во измерений:17373
796;29736;Маслянино;16992;84.13;54.2;Маслянино (29736) кол-во измерений:16992
